iter	Passed	Remaining
0	50	25424
1	86	21580
2	120	19977
3	149	18584
4	180	17882
5	215	17782
6	248	17477
7	280	17234
8	311	16995
9	341	16726
10	389	17299
11	428	17441
12	464	17399
13	495	17191
14	528	17083
15	558	16897
16	593	16848
17	626	16776
18	660	16727
19	696	16725
20	743	16948
21	778	16905
22	816	16926
23	849	16842
24	884	16814
25	915	16686
26	953	16703
27	987	16648
28	1020	16571
29	1048	16422
30	1087	16448
31	1112	16268
32	1139	16131
33	1170	16042
34	1203	15993
35	1234	15914
36	1261	15780
37	1294	15743
38	1327	15690
39	1370	15756
40	1404	15724
41	1443	15741
42	1471	15638
43	1501	15563
44	1530	15477
45	1558	15377
46	1589	15319
47	1620	15256
48	1646	15156
49	1677	15100
50	1705	15015
51	1737	14965
52	1765	14891
53	1793	14815
54	1823	14752
55	1852	14687
56	1890	14693
57	1916	14607
58	1949	14571
59	1984	14554
60	2013	14489
61	2041	14419
62	2074	14390
63	2105	14342
64	2132	14272
65	2159	14198
66	2195	14187
67	2225	14138
68	2255	14090
69	2281	14017
70	2311	13968
71	2343	13928
72	2379	13920
73	2407	13860
74	2434	13795
75	2466	13761
76	2501	13740
77	2534	13709
78	2565	13671
79	2593	13613
80	2620	13554
81	2644	13480
82	2671	13423
83	2703	13389
84	2736	13358
85	2772	13345
86	2807	13329
87	2835	13274
88	2864	13228
89	2893	13179
90	2925	13147
91	2953	13099
92	2987	13073
93	3015	13025
94	3049	13000
95	3082	12970
96	3110	12922
97	3142	12888
98	3177	12868
99	3203	12812
100	3233	12775
101	3262	12730
102	3296	12705
103	3327	12670
104	3362	12650
105	3396	12624
106	3429	12595
107	3457	12550
108	3488	12515
109	3519	12477
110	3548	12434
111	3577	12392
112	3611	12368
113	3637	12317
114	3670	12288
115	3696	12236
116	3728	12204
117	3756	12160
118	3783	12112
119	3810	12066
120	3841	12031
121	3867	11983
122	3896	11942
123	3930	11918
124	3955	11867
125	3987	11836
126	4018	11802
127	4048	11766
128	4076	11724
129	4113	11708
130	4146	11680
131	4173	11634
132	4200	11590
133	4228	11548
134	4257	11509
135	4290	11484
136	4322	11451
137	4353	11418
138	4388	11398
139	4424	11377
140	4450	11332
141	4478	11290
142	4514	11271
143	4544	11234
144	4572	11193
145	4605	11166
146	4632	11124
147	4658	11079
148	4686	11039
149	4720	11013
150	4748	10976
151	4777	10938
152	4806	10901
153	4832	10856
154	4858	10813
155	4885	10773
156	4917	10743
157	4944	10702
158	4974	10667
159	5000	10625
160	5030	10592
161	5057	10551
162	5084	10511
163	5116	10482
164	5144	10445
165	5172	10406
166	5202	10373
167	5234	10344
168	5263	10309
169	5296	10280
170	5325	10246
171	5351	10205
172	5385	10179
173	5414	10145
174	5446	10114
175	5482	10092
176	5516	10066
177	5544	10030
178	5574	9997
179	5609	9973
180	5641	9942
181	5667	9902
182	5721	9911
183	5754	9882
184	5784	9848
185	5814	9816
186	5852	9796
187	5889	9773
188	5926	9752
189	5958	9720
190	5991	9692
191	6022	9660
192	6058	9636
193	6091	9608
194	6124	9578
195	6160	9555
196	6192	9523
197	6224	9494
198	6257	9465
199	6291	9436
200	6322	9404
201	6353	9372
202	6391	9351
203	6419	9314
204	6452	9285
205	6485	9255
206	6518	9226
207	6551	9197
208	6582	9164
209	6616	9137
210	6647	9104
211	6679	9074
212	6707	9037
213	6734	9000
214	6763	8965
215	6789	8926
216	6819	8893
217	6847	8858
218	6876	8823
219	6907	8791
220	6937	8758
221	6965	8722
222	6994	8688
223	7024	8654
224	7053	8621
225	7081	8585
226	7114	8556
227	7143	8522
228	7175	8490
229	7202	8455
230	7229	8419
231	7259	8385
232	7286	8349
233	7317	8318
234	7344	8281
235	7373	8247
236	7403	8215
237	7429	8179
238	7465	8152
239	7494	8119
240	7530	8092
241	7560	8060
242	7590	8028
243	7622	7997
244	7652	7965
245	7684	7933
246	7717	7904
247	7751	7876
248	7779	7841
249	7808	7808
250	7848	7785
251	7877	7752
252	7909	7721
253	7936	7686
254	7962	7650
255	7989	7615
256	8018	7581
257	8048	7549
258	8077	7516
259	8110	7486
260	8138	7452
261	8164	7416
262	8196	7386
263	8231	7358
264	8265	7329
265	8292	7294
266	8323	7263
267	8352	7230
268	8388	7203
269	8421	7173
270	8455	7144
271	8482	7110
272	8513	7078
273	8543	7046
274	8571	7013
275	8608	6986
276	8638	6954
277	8665	6920
278	8694	6886
279	8722	6853
280	8753	6822
281	8789	6794
282	8816	6760
283	8850	6731
284	8882	6701
285	8914	6670
286	8943	6637
287	8980	6610
288	9010	6578
289	9043	6548
290	9070	6514
291	9101	6483
292	9130	6450
293	9165	6422
294	9196	6390
295	9227	6359
296	9258	6328
297	9291	6298
298	9321	6266
299	9350	6233
300	9378	6200
301	9411	6170
302	9441	6138
303	9470	6105
304	9496	6071
305	9525	6039
306	9558	6008
307	9587	5976
308	9614	5942
309	9640	5908
310	9669	5876
311	9702	5846
312	9734	5815
313	9765	5784
314	9802	5757
315	9831	5724
316	9860	5692
317	9894	5662
318	9924	5631
319	9956	5600
320	9986	5568
321	10018	5538
322	10050	5507
323	10084	5478
324	10118	5448
325	10146	5415
326	10175	5383
327	10200	5349
328	10233	5318
329	10262	5286
330	10293	5255
331	10321	5222
332	10350	5190
333	10380	5159
334	10411	5128
335	10445	5098
336	10478	5068
337	10514	5039
338	10542	5007
339	10574	4976
340	10604	4944
341	10629	4910
342	10663	4880
343	10695	4850
344	10724	4818
345	10755	4787
346	10782	4754
347	10811	4722
348	10846	4692
349	10879	4662
350	10908	4630
351	10945	4602
352	10976	4571
353	11005	4538
354	11037	4508
355	11073	4479
356	11108	4449
357	11141	4419
358	11173	4388
359	11203	4356
360	11241	4328
361	11269	4296
362	11298	4264
363	11331	4233
364	11363	4202
365	11397	4173
366	11432	4143
367	11463	4111
368	11489	4078
369	11515	4046
370	11546	4014
371	11580	3984
372	11609	3952
373	11647	3924
374	11679	3893
375	11711	3862
376	11744	3831
377	11781	3802
378	11814	3772
379	11845	3740
380	11885	3712
381	11916	3680
382	11947	3649
383	11980	3619
384	12016	3589
385	12049	3558
386	12078	3526
387	12111	3495
388	12142	3464
389	12174	3433
390	12206	3402
391	12237	3371
392	12268	3340
393	12301	3309
394	12333	3278
395	12364	3247
396	12393	3215
